paired,handshake_ms,ice_gather_laptop_ms,ice_gather_phone_ms,offer_bytes,qr_chars,answer_bytes,answer_b64_chars,audio_attempts,transfer_ok,transfer_kbps,transfer_size,transfer_ms,failure,iter
True,9936,140,76,62,83,55,74,1,True,1250,102400,80,,1
True,6626,124,83,62,83,55,74,1,True,1724,102400,58,,2
True,6861,123,86,62,83,55,74,1,True,2083,102400,48,,3
True,7088,123,108,62,83,55,74,1,True,1818,102400,55,,4
True,6687,123,81,62,83,55,74,1,True,2174,102400,46,,5
True,6835,154,70,62,83,55,74,1,True,3333,102400,30,,6
True,6544,139,88,62,83,55,74,1,True,2326,102400,43,,7
True,6943,140,68,62,83,55,74,1,True,1724,102400,58,,8
True,6295,122,67,62,83,55,74,1,True,2326,102400,43,,9
True,6720,122,71,62,83,55,74,1,True,2222,102400,45,,10
True,6801,122,80,62,83,55,74,1,True,6781,1048576,151,,11
True,6378,139,82,62,83,55,74,1,True,3336,1048576,307,,12
True,6298,123,70,62,83,55,74,1,True,6827,1048576,150,,13
True,6400,124,83,62,83,55,74,1,True,6206,1048576,165,,14
True,7405,123,86,62,83,55,74,1,True,3103,1048576,330,,15
True,6319,155,79,62,83,55,74,1,True,6649,1048576,154,,16
True,7849,122,111,62,83,55,74,1,True,2901,1048576,353,,17
True,8142,153,78,62,83,55,74,1,True,6024,1048576,170,,18
True,7605,123,72,62,83,55,74,1,True,7474,1048576,137,,19
True,6919,123,98,62,83,55,74,1,True,4163,1048576,246,,20
True,6934,155,80,62,83,55,74,1,True,3233,10485760,3167,,21
True,6368,140,85,62,83,55,74,1,True,6052,10485760,1692,,22
True,6197,123,71,62,83,55,74,1,True,4397,10485760,2329,,23
True,7677,138,71,62,83,55,74,1,True,5217,10485760,1963,,24
True,6895,138,75,62,83,55,74,1,True,5568,10485760,1839,,25
True,6456,139,78,62,83,55,74,1,True,6481,10485760,1580,,26
True,6499,121,63,62,83,55,74,1,True,5450,10485760,1879,,27
True,6329,123,81,62,83,55,74,1,True,2053,10485760,4989,,28
True,6356,122,81,62,83,55,74,1,True,4621,10485760,2216,,29
True,8647,124,76,62,83,55,74,1,True,3599,10485760,2845,,30
